INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|852|27|12|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|893|64|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|895|27|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|899|27|12|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1002|42|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1010|21|12|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1024|34|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1026|44|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1032|44|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1041|34|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1042|42|3|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\flutter_project\\mira\\lib\\features\\profile\\profile_screen.dart|1127|42|3|Don't use 'BuildContext's across async gaps.
